1929 or 1989?	1929年还是1989年?	1929年还是1989年?
Putting the ECB in charge should also help to stop the creeping disintegration process, which is not publicly visible, but is very real nonetheless. Just ask any of the large international banking groups headquartered in financially stressed eurozone countries.	让欧洲央行来行使此职能还有助于阻止正在潜滋暗长的去一体化过程，该过程尽管还没有进入公众视野，但已成为现实威胁。只消问问坐落于受困欧元区国家的任何大型国际银行集团总部便可推知一二。	由欧洲央行负责也将有助于阻止逐渐解体的进程,这一进程虽然不公开可见,但却非常真实。 问一下总部设在财政紧张的欧元区国家的任何大型国际银行集团。 欧元区国家需要多少银行集团,只要问一下。
Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany. The German operations naturally generate a surplus of funds (given that savings in Germany far exceed investment on average).	就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。德国分行自然手握资金盈余（因为平均而言德国储蓄远高于投资）。总行希望使用这笔资金增强整个集团的流动性。但德国监管当局认为意大利存在风险，因此反对资金转移。	考虑一家总部设在意大利,但在德国有一个重要的子公司的银行。 德国的业务自然产生盈余(因为德国的储蓄远远超过平均投资 ) 。
It would like to see the “internal capital market” operate as much as possible. Here, too, it makes sense to have the ECB in charge as a neutral arbiter with respect to these opposing interests.	母国（意大利）监管者的利益正好与此相反。它希望看到“内部资本市场”操作，越多越好。在这里，让欧洲央行来充当尊重这些对立利益的中立仲裁者才是合适的。	它希望看到“内部资本市场”尽可能多地运作。 在这里,让欧洲央行作为中立的仲裁人来负责这些对立利益也是有道理的。
But, while putting the ECB in charge of banking supervision solves one problem, it creates another: can national authorities still be held responsible for saving banks that they no longer supervise?	但是，尽管让欧洲央行行使银行监管职能可以解决问题，但也会造成另一个问题：国家级监管当局是否需要继续对其不再行使监管职能的储蓄银行负责？	但是,一方面让欧洲央行负责银行监督解决了一个问题,另一方面却制造了另一个问题:国家当局是否仍然要为它们不再监督的储蓄银行负责?
Officially, this has not yet been acknowledged. But that is often the way that European integration proceeds: an incomplete step in one area later requires further steps in related areas.	经济（和政治）逻辑意味着很快欧元区又需要一个共同银行援助基金。这一需要尚未被正式承认。但此乃欧洲一体化进程中的典型做法：在某领域出台的不完整措施要求在相关领域出台后续措施。	官方尚未承认这一点,但这往往是欧洲一体化进程的方式:一个领域的一个不完整步骤后来需要相关领域的进一步步骤。
This incremental approach has worked well in the past; indeed, today’s European Union resulted from it. But a financial crisis does not give policymakers the time that they once had to explain to voters why one step required another.	这一增量办法在过去效果甚丰；事实上，今天的欧盟就是这样产生的。但金融危机使得决策者不再像过去那样有时间向选民解释为什么一项措施会带来另一项措施。他们需要大大加快动作不乏，这样才能拯救欧元。	这一渐进式方法在过去运作良好;事实上,今天的欧盟是其产物。 但金融危机并没有让决策者有时间向选民解释为什么一个步骤需要另一个步骤。
The Renewed Promise of Abenomics	安倍经济学的新一轮承诺	" 安倍经济学 " 的新承诺
TOKYO – Japan’s Liberal Democratic Party scored a decisive victory in the December 14 parliamentary election, with Japanese voters demonstrating their overwhelming approval of Prime Minister Shinzo Abe’s macroeconomic policy agenda. Though voter turnout was relatively low, owing largely to the somewhat technical nature of the issues, the election’s message was clear: most Japanese abhor the prospect of a return to the grim economic trajectory that prevailed in Japan before “Abenomics.”	发自东京——日本自民党在今年12月14日的国会大选中取得了决定性的胜利，因为日本选民们一面倒地支持首相安倍晋三的宏观经济政策议程。虽然选民投票率还是相对较低——这在很大程度上源自于这类事务的某种技术性本质——但这场选举所传达出来的信息也非常清晰：大多数日本人都不愿意回到“安倍经济学”之前那种低迷经济轨道中去。	东京—日本自由民主党在12月14日的议会选举中赢得了决定性的胜利,日本选民展示了他们对首相安倍晋三宏观经济政策议程的压倒性赞同。 选民投票率虽然相对较低,但主要由于问题的技术性质,选举信息非常明确:大多数日本人憎恶回到日本“基因组学”之前的严峻经济轨迹的前景。
When the first “arrow” of Abenomics – a fiscal stimulus program – was launched nearly two years ago, asset markets' immediate response was positive. The second arrow of Abenomics – monetary easing – intensified these effects.	当安倍经济学的第一支箭——财政刺激计划——在两年前射出之后，资产市场立刻作出了积极回应。而安倍经济学的第二支箭——货币宽松——则强化了这一效应。	安倍经济学的第二支箭 — — 货币宽松 — — 强化了这些效应。 当安倍经济学的第一个“箭头 ” — —财政刺激计划 — — 近两年前启动时,资产市场的即时反应是积极的。 安倍经济学的第二支箭头 — — 货币宽松 — — 强化了这些效应。
In the last two years, Japan’s stock market has almost doubled in value, increasing the wealth of Japanese consumers. Moreover, the yen has fallen by nearly one-third against the US dollar, from around ¥80 to nearly ¥120 per dollar, invigorating Japan’s export industries.	在过去两年中，日本股票市场的市值几乎翻了一倍，使消费者的财富得到了增长。此外，日元对美元贬值了近三分之一，从原来的约80日元兑1美元下降到近120日元，令日本的出口工业蓬勃发展。	过去两年,日本股市价值几乎翻了一番,增加了日本消费者的财富。 此外,日元对美元下跌了近三分之一,从80日元兑1美元左右下降到120日元兑1美元左右,刺激了日本的出口产业。
Even more encouraging are developments in the labor market, which, unlike those in asset markets, reflect outcomes, not expectations. Here, too, the news is good.	更令人鼓舞的则是劳动力市场的变化发展，跟资产市场不同的是，这反映出了结果，而非仅仅是预期。在这方面形势也十分喜人。劳动力市场得到了巩固，失业率维持在3.5%，而职位和求职者的比率则高于1。	更令人鼓舞的是劳动力市场的发展,劳动力市场的发展与资产市场不同,反映的是结果,而不是预期。 这里的消息也是好消息。 劳动力市场的发展与资产市场不同,反映了结果,而不是期望。
But the downturn, which resulted from April’s consumption-tax hike – from 5% to 8% – cannot be blamed on Abenomics. Indeed, Abe was honoring a law enacted by the previous government, led by the Democratic Party of Japan.	无可否认，这其中还存在的一些挫折：日本的GDP在第二和第三季度出现了收缩。但这一由于四月份提升消费税（从5%提到8%）所导致的下滑状况不能归罪于安倍经济学。事实上，安倍只是在遵从由上届日本民主党政府所通过的一项法律而已。	但四月份消费税涨幅 — — 从5%升至8% — — 引发的衰退不能归咎于安倍经济学。 事实上,安倍荣耀日本民主党领导的上届政府颁布的一部法律。
